title,language,genre,director,us_voters_rating,non_us_voters_rating,ABS(rating.non_us_voters_rating-rating.us_voters_rating)
Miles from Home,English,Drama,Ty Hodges,6.4,1.3,5.100000143051148
In Montauk,English,"Drama, Romance",Kim Cummings,8.1,3.1,5.000000476837158
Shouting Secrets,English,Drama,Korinna Sehringer,8.3,3.3,5.000000238418579
This End Up,English,"Comedy, Drama","David LaRosa, Brian Robbinson",6,1,5
Henry Aldrich Gets Glamour,English,"Adventure, Comedy, Family",Hugh Bennett,7.4,2.4,5
Condition,English,"Drama, Mystery, Sci-Fi",Andrei Severny,8.7,3.7,4.999999761581421
The Lackey,English,Action,"Shaun Paul Piccinino, Jason Sanders",7.2,2.2,4.999999761581421
Devil Goddess,English,Adventure,Spencer Gordon Bennet,8.4,3.4,4.999999523162842
Mahogany Sunrise,English,"Crime, Drama, Romance",R. Scott Leisk,7.9,3,4.900000095367432
Blue Hollywood,English,"Comedy, Drama, Romance",Francesco Gabriele,9.3,4.4,4.900000095367432
Adventure Scouts,English,"Action, Adventure, Comedy",Jim Fitzpatrick,8.3,3.4,4.900000095367432
Henry Aldrich for President,English,Comedy,Hugh Bennett,7.1,2.2,4.8999998569488525
Follow the Leader,English,"Action, Adventure, Comedy",William Beaudine,7.1,2.2,4.8999998569488525
Mr. Muggs Steps Out,English,Comedy,William Beaudine,7.2,2.3,4.8999998569488525
Escape from Cuba,English,"Drama, Action",Tom Logan,7.4,2.6,4.800000190734863
Love Is a Thieves' Game,English,"Action, Crime, Drama",Sam Logan Khaleghi,6.8,2,4.800000190734863
Bondage,English,"Biography, Drama",Eric Allen Bell,8.8,4,4.800000190734863
The Texture of Falling,English,Drama,Maria Allred,8.5,3.7,4.799999952316284
Jean,English,"Adventure, Drama",Shawn Welling,7.6,2.8,4.799999952316284
Buried Treasure,English,"Adventure, Fantasy, Romance",George D. Baker,8.2,3.4,4.799999713897705
The S1gnificance of Se7enteen,English,Comedy,Carlos Puga,8.1,3.4,4.700000286102295
Dieci scenette dal vostro show degli show,English,Comedy,Max Liebman,8.8,4.1,4.700000286102295
Beyond the Pale,English,Drama,George Bazala,8.3,3.6,4.700000286102295
Lo spirito del vento,English,"Adventure, Drama, Family",Ralph Liddle,7.8,3.1,4.700000286102295
Mr. Vincent,English,Drama,Robert Celestino,6,1.3,4.700000047683716
The Secret Princess,English,Animation,Segun Williams,9.7,5,4.699999809265137
Nero Bloom: Private Eye,English,"Action, Mystery",Jason Eberly,5.7,1,4.699999809265137
For Catherine,English,Comedy,Ethan Hunter,5.7,1,4.699999809265137
