title,language,genre,director,us_voters_rating,non_us_voters_rating,ABS(rating.non_us_voters_rating-rating.us_voters_rating)
Sinus,"Norwegian, English","Comedy, Drama",Jeremy RobÌüle,2.8,5.4,2.6000001430511475
Another Silence,"Spanish, English",Drama,Santiago Amigorena,2.7,5.3,2.6000001430511475
"Kala krymmena mystika, Athanasia","Greek, English","Drama, Romance",Panos Karkanevatos,3.8,6.4,2.6000001430511475
"Vegas, City of Dreams",English,Drama,Lorenzo Doumani,3.1,5.7,2.5999999046325684
Indivisibili,"Italian, English",Drama,Edoardo De Angelis,4.3,6.9,2.5999999046325684
Blood Type,English,"Action, Fantasy, Horror",,4.5,7.1,2.5999999046325684
The System,English,"Drama, Mystery, Thriller",Irin Daniels,6.4,9,2.5999999046325684
StarDog and TurboCat,English,"Animation, Comedy, Family",Ben Smith,4.8,7.4,2.5999999046325684
The Cuckold,English,Drama,Jonathan Butler,1.6,4.2,2.599999785423279
Ring of Silence,English,Drama,Nicole Bowers Wallace,5.8,8.4,2.59999942779541
Tripping Forward - Spacciatori per modelle,English,Comedy,Marcus Nash,3.8,6.3,2.500000238418579
Magari,"Italian, French, English",Drama,Ginevra Elkann,3.8,6.3,2.500000238418579
Extreme Force,English,Action,Michel Qissi,1.9,4.4,2.5000001192092896
Issues,English,Comedy,Van Elder,5.2,7.7,2.5
Be My Teacher,English,"Drama, Romance",Lakisha R. Lemons,2.9,5.4,2.5
Foon,"French, English",Comedy,"BenoÌ¨t PÌ©trÌ©, Deborah SaÌøag",1.2,3.7,2.5
The Penalty King,English,Comedy,Chris Cook,3,5.5,2.5
Tales from Six Feet Under,English,"Comedy, Horror",Nicholas Michael Jacobs,4.5,7,2.5
Boxing Day,"Aboriginal, English","Crime, Drama",Kriv Stenders,4.7,7.2,2.5
The Wake,English,Horror,"Faouzi Brahimi, Bryan Brewer",3.6,6.1,2.5
Warning!!! Pedophile Released,English,"Crime, Drama, Romance",Shane Ryan,4.4,6.9,2.5
Shelter,English,Drama,Chris Elston,3.4,5.9,2.5
Horseplay,English,Comedy,Stavros Kazantzidis,2.1,4.6,2.5
The Stand-In,English,Drama,Roberto Monticello,5,7.5,2.5
Red Rose,English,Drama,Robbie Moffat,2.7,5.2,2.499999761581421
Karma,"Sinhalese, English",Drama,Prasanna Jayakody,2.7,5.2,2.499999761581421
Lime Salted Love,English,Drama,"Danielle Agnello, Joe Hall",3.7,6.2,2.499999761581421
Set Me Free: Vol. I,English,"Crime, Drama, Mystery",Kris Smith,7.2,9.6,2.40000057220459
Tribal Get Out Alive,English,"Action, Horror, Thriller",Matt Routledge,4.4,6.8,2.400000095367432
Les Plouffe,"French, English",Drama,Gilles Carle,5.6,8,2.400000095367432
Small Time,English,"Comedy, Drama",Shane Meadows,3.4,5.8,2.400000095367432
