title,language,genre,director,avg_vote,top1000_voters_rating,ABS(rating.top1000_voters_rating-movies.avg_vote)
Verraaiers,"Afrikaans, English, Dutch","Drama, War",Paul Eilers,7.1,1.8,5.299999952316284
JosÌ© Rizal,"Filipino, Tagalog, Spanish, English, French, German, Latin","Biography, Drama, History",Marilou Diaz-Abaya,7.6,2.3,5.299999952316284
Mudras Calling,English,"Adventure, Drama, Romance",Christina Kyi,8.5,3.2,5.299999952316284
Kapetan Mikula Mali,"English, German, Serbo-Croatian","Drama, War",Obrad Gluscevic,6.7,1.4,5.299999833106995
Black Velvet,English,Adventure,Tim Pape,7.3,2.1,5.200000286102295
Bubble Gum,"Hindi, Bengali, Bhojpuri, English",Drama,Sanjivan Lal,7.3,2.1,5.200000286102295
King of the Sands,"English, Arabic","Biography, Drama, History",Najdat Esmail Anzur,7.3,2.1,5.200000286102295
Ang nawawala,"Filipino, Tagalog, English",Drama,Marie Jamora,7,1.8,5.200000047683716
Thunder Over Reno,English,Adventure,Mitch Carley,7.1,1.9,5.199999928474426
Hava Aney Dey,"Hindi, Marathi, English",Drama,Partho Sen-Gupta,6.2,1,5.199999809265137
Operation Terror,English,Thriller,Paul Cross,6.2,1,5.199999809265137
Dekada '70,"Filipino, Tagalog, English",Drama,Chito S. RoÌ±o,7.2,2,5.199999809265137
Chalo Let's Go,"English, Bengali","Adventure, Comedy, Drama",Anjan Dutt,7.2,2,5.199999809265137
Sink,"Afrikaans, English, Portuguese",Drama,Brett Michael Innes,8.1,3,5.100000381469727
Let's Rob the Cheese Shop,English,"Comedy, Romance",Sean Gerowin,6.8,1.7,5.100000143051148
Bolje od bekstva,"Serbian, English","Drama, Romance",Miroslav Lekic,7.3,2.2,5.100000143051148
Cabaret Maxime,English,Drama,Bruno de Almeida,6.1,1,5.099999904632568
Problem of Evil,English,"Drama, Thriller","Ethan Kogan, Jessica Silvetti",7.1,2,5.099999904632568
Guerrilla,"Bengali, Urdu, English","Drama, History, War",Nasiruddin Yousuff,8.2,3.1,5.099999904632568
Maha'lai muang rae,"Thai, English","Biography, Comedy, Drama",Jira Maligool,8,2.9,5.099999904632568
23,English,"Action, Comedy",Craig Deering,6.7,1.6,5.099999785423279
Shaye & Kiki,English,"Animation, Drama, Fantasy",Eric Fournier,6.8,1.8,5.000000238418579
Familie,"Dutch, English, German",Drama,Willem van de Sande Bakhuyzen,7.3,2.3,5.000000238418579
DalalÌ?f,"Icelandic, English, Faroese, Vietnamese",Comedy,Ì?rÌÁinn Bertelsson,7.3,2.3,5.000000238418579
Vivekananda,"English, Hindi","Biography, Drama",G.V. Iyer,6.8,1.8,5.000000238418579
